805,660
848,617
970,524
892,655
947,575
821,628
927,551
831,593
836,574
915,694
826,630
875,623
878,603
960,555
912,561
965,610
847,613
873,649
841,627
908,687
873,664
978,500
884,536
957,634
873,608
982,527
879,681
918,582
814,681
911,550
887,547
994,651
905,560
931,525
933,587
818,583
808,535
816,502
885,694
982,685
845,637
923,637
948,678
809,628
825,670
919,539
932,590
976,531
942,510
811,699
862,600
849,572
867,689
858,571
802,558
819,654
813,542
975,549
951,660
805,667
964,645
931,527
979,646
920,575
956,503
854,574
984,638
967,573
918,522
831,502
905,561
843,633
839,535
822,577
897,557
842,598
876,601
984,651
994,613
822,626
879,658
910,639
865,534
919,664
834,633
987,550
897,581
900,631
806,517
881,684
893,586
904,507
986,684
841,698
938,593
990,503
914,668
948,657
813,507
929,601
999,587
880,680
802,524
957,552
890,510
840,593
991,510
835,512
929,677
900,685
985,608
826,503
937,551
918,502
848,538
830,584
869,519
985,668
906,570
808,626
877,523
839,550
889,538
812,651
833,532
931,680
979,568
855,558
939,637
862,646
936,601
868,678
977,595
970,644
944,661
830,690
936,675
910,535
884,675
854,631
852,555
884,681
956,683
806,643
920,625
872,694
855,536
933,679
992,520
824,699
939,641
984,518
833,564
858,527
871,530
996,618
944,642
927,533
898,526
936,628
832,671
901,574
930,581
855,632
824,698
825,531
889,644
868,605
808,692
800,611
996,564
901,678
911,557
953,508
953,555
812,588
981,539
825,570
802,546
947,600
983,640
963,543
908,539
828,592
890,534
949,544
955,593
929,675
874,672
922,530
898,670
942,553
862,594
951,613
859,643
993,684
983,624
818,594
812,614
902,552
867,658
848,564
945,544
850,613
807,546
860,645
850,634
852,519
861,651
981,616
910,562
895,686
807,599
877,600
960,521
834,516
908,699
856,654
869,653
815,625
921,562
909,548
829,535
814,500
996,672
817,660
911,601
957,634
803,551
908,580
939,664
922,659
831,581
885,654
979,522
972,622
897,609
821,559
976,502
827,636
915,508
827,634
940,639
833,545
851,507
986,559
907,638
923,525
821,583
985,621
985,616
927,583
964,617
910,644
812,669
845,549
937,698
949,516
824,567
916,643
966,595
962,513
977,522
808,513
806,666
976,643
802,622
871,696
836,539
848,691
952,594
859,544
948,517
858,517
817,567
981,632
954,552
991,574
859,615
967,601
868,642
938,698
952,647
934,558
889,587
911,635
871,517
821,671
947,669
973,663
921,635
873,610
922,685
896,675
946,630
862,535
920,594
944,570
815,670
814,609
801,513
879,633
917,682
827,627
840,636
917,636
867,561
853,636
835,679
802,650
853,531
929,654
823,550
845,609
927,650
833,635
824,548
987,686
970,698
945,512
884,671
827,654
938,556
988,554
921,652
999,586
808,626
937,570
954,602
906,539
936,672
861,504
926,579
914,514
963,554
893,636
983,648
918,618
847,533
992,655
929,669
871,620
886,504
988,503
829,680
891,528
802,553
879,559
967,588
839,682
837,687
971,573
831,556
889,688
860,627
917,599
838,500
867,588
902,626
972,659
970,569
800,694
842,696
998,669
933,532
938,575
964,694
836,667
909,646
984,528
975,581
897,582
813,625
922,526
945,568
872,659
827,584
852,667
840,587
921,511
819,680
925,618
800,500
935,590
928,627
906,591
946,566
937,553
812,696
934,621
971,505
919,625
945,689
921,604
992,554
866,523
960,596
860,556
807,568
983,543
923,513
973,652
961,666
958,684
844,647
882,606
839,558
992,506
988,673
822,648
907,565
928,692
814,571
987,575
814,570
889,517
801,519
931,600
965,597
882,687
874,649
804,611
998,577
877,657
803,563
847,643
862,684
897,597
996,509
840,676
828,699
940,595
933,605
813,674
840,694
983,583
983,520
814,667
830,588
969,678
945,502
947,693
898,570
923,504
954,659
985,501
899,634
826,507
999,677
850,546
827,530
871,519
974,587
980,647
834,678
823,685
843,669
974,574
975,631
837,510
910,600
821,610
835,554
923,642
882,628
832,662
804,599
935,639
831,590
846,674
865,536
966,647
823,648
958,598
972,628
912,533
835,675
828,598
964,607
818,693
816,640
915,628
812,641
839,597
821,644
800,563
828,645
942,564
974,652
848,523
935,525
885,557
885,673
863,676
947,621
891,575
978,525
886,646
830,622
858,530
858,647
904,526
807,520
823,699
